rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
580,IDEA Montopolis College Preparatory,"IDEA Montopolis College Preparatory is ranked 79th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at IDEA Montopolis College Preparatory is 100%. The total minority enrollment is 97%, and 90% of students are economically disadvantaged. IDEA Montopolis College Preparatory is 1 of 23 high schools in the IDEA Public Schools.",Austin,TX,97.5,78.824,392,38.0,18.0,61.0,24.10765599
581,Yorktown High School,"Yorktown High School is ranked 12th within Virginia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Yorktown High School is 67%. The total minority enrollment is 39%, and 12% of students are economically disadvantaged. Yorktown High School is 1 of 4 high schools in the Arlington County Public Schools.",Arlington,VA,92.96,58.32,2577,88.0,17.0,94.0,58.20317307
582,IDEA Edinburg College Preparatory,"IDEA Edinburg College Preparatory is ranked 80th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at IDEA Edinburg College Preparatory is 96%. The total minority enrollment is 97%, and 82% of students are economically disadvantaged. IDEA Edinburg College Preparatory is 1 of 23 high schools in the IDEA Public Schools.",Edinburg,TX,90.4,69.595,361,59.0,16.0,68.0,38.53544999
583,Professional and Technical High School,"Professional and Technical High School is ranked 38th within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Professional and Technical High School is 81%. The total minority enrollment is 83%, and 40% of students are economically disadvantaged. Professional and Technical High School is 1 of 23 high schools in the Osceoloa Public Schools.",Kissimmee,FL,100.0,61.682,549,69.0,26.0,85.0,39.40373563
584,Manhattan Village Academy,"Manhattan Village Academy is ranked 68th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Manhattan Village Academy is 90%. The total minority enrollment is 89%, and 69% of students are economically disadvantaged. Manhattan Village Academy is 1 of 533 high schools in the New York City Public Schools.",New York,NY,96.0,70.513,426,78.0,12.0,,34.04497941
585,Upper Arlington High School,"Upper Arlington High School is ranked 21st within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Upper Arlington High School is 68%. The total minority enrollment is 17%, and 4% of students are economically disadvantaged. Upper Arlington High School is 1 of 2 high schools in the Upper Arlington City.",Upper Arlington,OH,95.0,57.918,1867,80.0,22.0,88.0,66.77939102
586,Renaissance High School,"Renaissance High School is ranked fourth within Idaho. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Renaissance High School is 28%. The total minority enrollment is 28%, and 13% of students are economically disadvantaged. Renaissance High School is 1 of 15 high schools in the Meridian School District.",Meridian,ID,99.35,27.742,658,,15.0,100.0,
587,Bentonville High School,"Bentonville High School is ranked sixth within Arkansas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Bentonville High School is 65%. The total minority enrollment is 25%, and 15% of students are economically disadvantaged. Bentonville High School is 1 of 2 high schools in the Bentonville School District.",Bentonville,AR,94.55,52.085,3318,54.0,13.0,81.0,58.04162942
588,Ottawa Hills High School,Ottawa Hills High School is ranked 22nd within Ohio. Students have the opportunity to take Advanced Placement&#174,Toledo,OH,95.0,66.758,346,75.0,14.0,,79.51437588
589,Marvin Ridge High School,"Marvin Ridge High School is ranked 19th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Marvin Ridge High School is 70%. The total minority enrollment is 36%, and 4% of students are economically disadvantaged. Marvin Ridge High School is 1 of 12 high schools in the Union County Public Schools.",Waxhaw,NC,95.0,60.453,2074,70.0,22.0,92.0,70.13560289
590,Bethesda-Chevy Chase High School,"Bethesda-Chevy Chase High School is ranked 10th within Maryland. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Bethesda-Chevy Chase High School is 78%. The total minority enrollment is 51%, and 25% of students are economically disadvantaged. Bethesda-Chevy Chase High School is 1 of 29 high schools in the Montgomery County Public Schools.",Bethesda,MD,94.43,69.836,2335,,18.0,68.0,67.32079423
591,Granville High School,"Granville High School is ranked 23rd within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Granville High School is 59%. The total minority enrollment is 11%, and 7% of students are economically disadvantaged. Granville High School is the only high school in the Granville Exempted Village.",Granville,OH,95.0,52.723,816,86.0,21.0,91.0,74.13387978
592,Grosse Pointe South High School,"Grosse Pointe South High School is ranked 12th within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Grosse Pointe South High School is 68%. The total minority enrollment is 15%, and 14% of students are economically disadvantaged. Grosse Pointe South High School is 1 of 2 high schools in the Grosse Pointe Public Schools.",Grosse Pointe Farms,MI,96.61,53.16,1225,63.0,18.0,79.0,68.3910862
593,Ridgefield High School,"Ridgefield High School is ranked 11th within Connecticut. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Ridgefield High School is 69%. The total minority enrollment is 21%, and 7% of students are economically disadvantaged. Ridgefield High School is the only high school in the Ridgefield School District.",Ridgefield,CT,96.4,61.87,1474,,12.0,,73.1468016
594,IDEA College Preparatory Mission,"IDEA College Preparatory Mission is ranked 81st within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at IDEA College Preparatory Mission is 100%. The total minority enrollment is 98%, and 92% of students are economically disadvantaged. IDEA College Preparatory Mission is 1 of 23 high schools in the IDEA Public Schools.",Mission,TX,94.7,72.074,412,43.0,15.0,66.0,30.89610988
595,Chesapeake Science Point,"Chesapeake Science Point is ranked 11th within Maryland. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Chesapeake Science Point is 78%. The total minority enrollment is 75%, and 24% of students are economically disadvantaged. Chesapeake Science Point is 1 of 18 high schools in the Anne Arundel County Public Schools.",Hanover,MD,95.0,58.19,268,45.0,15.0,90.0,51.70647019
596,Sharpstown International School,"Sharpstown International School is ranked 82nd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Sharpstown International School is 74%. The total minority enrollment is 98%, and 96% of students are economically disadvantaged. Sharpstown International School is 1 of 49 high schools in the Houston Independent School District.",Houston,TX,91.1,61.585,717,82.0,17.0,69.0,28.66510539
597,Tenafly High School,"Tenafly High School is ranked 31st within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Tenafly High School is 71%. The total minority enrollment is 49%, and 3% of students are economically disadvantaged. Tenafly High School is the only high school in the Tenafly Public School District.",Tenafly,NJ,97.8,63.548,1197,64.0,12.0,78.0,71.59607199
598,Idea South Flores College Preparatory,"Idea South Flores College Preparatory is ranked 83rd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Idea South Flores College Preparatory is 100%. The total minority enrollment is 96%, and 77% of students are economically disadvantaged. Idea South Flores College Preparatory is 1 of 23 high schools in the IDEA Public Schools.",San Antonio,TX,96.2,67.397,340,52.0,16.0,72.0,
599,Honeoye Falls-Lima Senior High School,"Honeoye Falls-Lima Senior High School is ranked 69th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Honeoye Falls-Lima Senior High School is 67%. The total minority enrollment is 10%, and 19% of students are economically disadvantaged. Honeoye Falls-Lima Senior High School is the only high school in the Honeoye Falls-Lima Central School District.",Honeoye Falls,NY,98.0,59.88,660,93.0,10.0,95.0,81.375
